file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,192,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,19
styles.css,193,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,10
styles.css,194,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,14
styles.css,195,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,0
styles.css,196,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,0
styles.css,197,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,21
styles.css,198,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,21
styles.css,199,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,12
styles.css,200,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,13
styles.css,201,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,24
styles.css,202,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,20
styles.css,203,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,22
styles.css,204,css,783ea549,Shadooey,2025-04-30,21:50:24,-07:00,2025-04-30T21:50:24-07:00,0,14
styles.css,205,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,0
styles.css,206,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,0
styles.css,207,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,7
styles.css,208,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,30
styles.css,209,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,14
styles.css,210,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,0
styles.css,211,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,0
styles.css,212,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,10
styles.css,213,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,17
styles.css,214,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,16
styles.css,215,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,0
styles.css,216,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,0
styles.css,217,css,86548b84,Shadooey,2025-05-06,16:02:30,-07:00,2025-05-06T16:02:30-07:00,0,10
